step,loss,loss_delta,grad_norm,max_grad_abs,mean_grad_abs,nonfinite_loss_count,nonfinite_gradient_count,tokens_per_sec,step_ms,data_ms,h2d_ms,forward_ms,loss_ms,backward_ms,optimizer_ms,allocated_mib,reserved_mib,peak_allocated_mib,peak_reserved_mib,cuda_oom_count,cuda_malloc_retry_count,graph_breaks,compile,activation_checkpointing,checkpoint_save,fp8_status
1,10.899372100830078,n/a,11.01381778717041,n/a,n/a,0,0,3747.0852638403903,4372.465221997118,0.0,0.0,0.0,0.0,0.0,0.0,4166.86376953125,5780.0,5196.84228515625,5780.0,0,0,0,enabled,enabled,disabled,disabled
2,10.683588027954102,0.21578407287597656,10.152878761291504,n/a,n/a,0,0,5964.985521878281,2746.6956860007485,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.275390625,6604.0,0,0,0,enabled,enabled,disabled,disabled
3,9.685457229614258,0.9981307983398438,16.43096351623535,n/a,n/a,0,0,6006.455600183611,2727.7318090054905,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
4,9.43539810180664,0.2500591278076172,9.177227020263672,n/a,n/a,0,0,5727.378308922143,2860.645677006687,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
5,8.679483413696289,0.7559146881103516,8.417769432067871,n/a,n/a,0,0,5572.9007745989375,2939.941093995003,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
6,8.528791427612305,0.15069198608398438,4.706910133361816,n/a,n/a,0,0,5370.912017202322,3050.506124011008,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
7,8.068663597106934,0.4601278305053711,5.261318683624268,n/a,n/a,0,0,5789.489826182316,2829.9557459977223,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
8,8.158945083618164,-0.09028148651123047,4.884153366088867,n/a,n/a,0,0,4524.8748660241345,3620.8736120024696,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
9,7.842666149139404,0.31627893447875977,4.265679359436035,n/a,n/a,0,0,4930.403662914594,3323.0544840043876,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
10,8.092957496643066,-0.2502913475036621,2.6847426891326904,n/a,n/a,0,0,4989.174965698228,3283.9096870011417,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
11,8.356514930725098,-0.26355743408203125,2.687197208404541,n/a,n/a,0,0,4360.632563724582,3757.253050003783,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
12,7.7449235916137695,0.6115913391113281,1.942986011505127,n/a,n/a,0,0,4149.173621480837,3948.73810900026,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
13,8.070230484008789,-0.32530689239501953,2.0711677074432373,n/a,n/a,0,0,5388.667589166559,3040.454756002873,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
14,7.167840957641602,0.9023895263671875,2.304281711578369,n/a,n/a,0,0,4360.13262933858,3757.683857998927,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
15,7.04386043548584,0.12398052215576172,2.3527770042419434,n/a,n/a,0,0,4245.59451955348,3859.0590609965147,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
16,6.8917365074157715,0.15212392807006836,1.9475963115692139,n/a,n/a,0,0,4205.203833444761,3896.1250509892125,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
17,6.756365776062012,0.13537073135375977,2.0741775035858154,n/a,n/a,0,0,4135.964064008674,3961.3496989913983,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
18,6.577237129211426,0.17912864685058594,1.7518211603164673,n/a,n/a,0,0,4193.42293299324,3907.0707299979404,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
19,6.829112529754639,-0.2518754005432129,1.7457257509231567,n/a,n/a,0,0,4343.39282305065,3772.1662919939263,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
20,6.576752662658691,0.25235986709594727,2.155642509460449,n/a,n/a,0,0,4383.214372382791,3737.8961209906265,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
21,6.098263740539551,0.4784889221191406,1.4315314292907715,n/a,n/a,0,0,4264.7236574639755,3841.749504994368,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
22,6.3704023361206055,-0.2721385955810547,1.9505224227905273,n/a,n/a,0,0,4278.459415553797,3829.415779997362,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
23,5.48401403427124,0.8863883018493652,1.3755695819854736,n/a,n/a,0,0,4278.324231159801,3829.536780001945,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
24,5.849496841430664,-0.36548280715942383,2.580017566680908,n/a,n/a,0,0,4349.916895292041,3766.508738990524,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
25,5.990483283996582,-0.14098644256591797,1.6522893905639648,n/a,n/a,0,0,4067.7846305568055,4027.7451949950773,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
26,5.293466567993164,0.697016716003418,1.5874160528182983,n/a,n/a,0,0,3944.7939036996477,4153.322176003712,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
27,5.662773132324219,-0.3693065643310547,1.6273494958877563,n/a,n/a,0,0,4213.804815549821,3888.172499006032,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
28,5.361453056335449,0.30132007598876953,1.6315875053405762,n/a,n/a,0,0,4231.385183062869,3872.018096008105,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
29,5.035283088684082,0.3261699676513672,1.8165913820266724,n/a,n/a,0,0,4219.9601184007715,3882.501147003495,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
30,5.046200275421143,-0.010917186737060547,2.0000174045562744,n/a,n/a,0,0,4180.583162854407,3919.070464995457,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
31,5.297967433929443,-0.2517671585083008,1.4926737546920776,n/a,n/a,0,0,4432.830072523521,3696.05866499478,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
32,5.951079368591309,-0.6531119346618652,1.9500313997268677,n/a,n/a,0,0,4390.8463158652585,3731.3991019909736,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
33,5.653813362121582,0.29726600646972656,7.456948757171631,n/a,n/a,0,0,4200.812366862554,3900.198001996614,0.0,0.0,0.0,0.0,0.0,0.0,4167.36376953125,6604.0,6034.2783203125,6604.0,0,0,0,enabled,enabled,disabled,disabled
